SRR27190676,SRR27190684,SRR27190685,SRR27190700,SRR27190708,SRR27190710
29.0842,14.0003,44.23209,5.13395,4.732810000000001,10.89352
735.9995026894101,962.976181647,1554.9293485096005,1010.99949798186,1509.9997011340301,1476.461927436983
41.53608,3.14847,36.2171,30.4514,43.07749,40.06656
535.8660508796639,882.24083,1127.405400023965,853.2375099999999,983.12535,866.20991
55.000040000000006,86.1701,109.00001999999999,98.53071000000001,126.04892,105.63917000000001
0,6,0,0,0,0
584.14670541052,797.8803068486001,1031.64948391,882.3380064989999,792.0753570811979,849.91907920065
38.5879,43.404849999999996,23.35922,10.4452,10.496979999999999,29
1,0,5,0,1,2
102.9999,41.000040000000006,39.99993,343.000040204355,101.0001,82
1874.8823,3259.8502500000004,3603.99367,2895.46611,2909.71405,2216.87071
15.06466,17.04176,19.43205,22.52268,18.174747,32.34399
1070.9997,1579.8055001352939,2796.926880337452,2853.4235706693908,1719.0529999999999,1967.80194
111.123864,455.212,468.66931,312.2139,660.31125,419.48332999999997
1407.1202100000003,2712.735879494909,2539.197240018579,1658.0134543828071,2460.5640417139994,1917.6508099999996
2,5,9,8,0,1
0,8,0,0,0,4
1833.966053936,3048.89804468,4421.602549862169,2101.0365897935003,3328.0801154554797,2715.721387879358
0,0,0,0,0,0
3013.00279,5808.79992,5875.12068,6450.992959999999,4189.326381270001,3288.0401599999996
205.0001758,209.00012000000004,426.00000000000006,202.00026123293998,386.999966,301.99964
763.0002,996.0003795850001,3336.0006098100007,682.9997000000001,1008.0006099999999,1955.9954141900002
2.81635,6,0,2.02526,1,3.557138
3004.00735,765.0005,1754.9980100000002,199.00030999999998,707.99943,430.0001
31,18,10,0,2,0
148.36162,160.69691,154.24919,84.50281,176.38967,109.00478000000001
5.99999828,49.00000000000001,160.0001,86.00001999999999,139.0003245,145.00036500000002
7.5189699999999995,7.14564,4,9,11.7106,23
1145.0003199999996,1140.9999004328447,1801.0014048947403,1391.9859342988998,1493.0003142689002,1549.9927999999998
0,1,18.99998,0,0,6
603.9076,602.5107300000001,1079.76049,480.3902,917.5261420500001,670.90466
268.0004,271.83069,1599.000100122772,132.9999948,275.30017,359.00015
98.1798289644,866.7800274484794,1094.6328462336498,356.32642369199993,619.84730030935,364.168346234014
540.81973,604.2194000000001,1001.3675000000001,918.6735,1054.1524,912.8312000000001
1054.92205087411,1792.91457,2424.460644136,3669.683304836299,1575.8109900000002,1505.85372036
308.51956421849894,646.4372222125601,1011.114750797766,443.879133449,793.6026299999999,578.42320489994
0,42,44.99996,39,15,23
0,0,9,0,0,0
709.99441,579.680896,1165.7802300633048,470.22607431,852.6772601518,917.0878764103027
48.09022,25.55255,31.09163,22.28295,19.13948,49.46822
1332.9152003300098,2304.4045,1861.2322,804.146,2027.1076999999998,1559.0473
0,1,0,0,1,0
250.54854,618.2751,686.9757,2106.014,329.3189,610.5361
603.70960011308,834.99994,878.99974,848.4599999999999,907.7257999999999,866.0002
29.000000052377,46,45.9999,67,60,26.000010215137
1843.00304550207,2880.00023,2649.00104,1762.000140011888,4190.99767,2800.0002000000004
311.94324798631,464.34586,409.4464,343.7165,463.03889999999996,323.66518104
0,0,0,2.00000414,0,0
1201.79311,2005.9136184329,2617.39151,1251.2267691669,2464.9284000000002,1914.104888321534
18153.990470183155,36271.03903245746,16130.05937121893,17028.87422174189,30453.0864937106,20977.878310759235
26,28,7.9999991999999995,10,10,40
5,9,11,9,2,15
101.4351049,190.09631,241.4129,141.08029,214.37170999999998,122.26249999999999
279.99978314127,257.00036,785.0002000000002,186.99991,351.55615,359.9998745
36.99998,39.000010402002,100.00004,30.99998,38.0000062665,64.000035217
417,383.9998663,543.10905,348.9995,558.09766,317.9995
631.000618,869.9998644100001,800.9996821709857,669.0006999999999,939.0002000000001,827.8625359
480.09314099999995,1238.148063962915,955.8421823851298,611.127496321663,1270.5707028468473,853.6022783390783
137.9999,76.9999,301.00025999999997,73.00003,272.00025999999997,244.00039999999998
124.16072082961502,85.22580294792499,85.33346116412999,44.12009515474,90.08899,67.27262999999999
19.01404,67.11832,17.010579999999997,25.06155,44.73809,9.62591
182.9191,109.7783,178.54399,143.9699,184.11099,185.13702
457.9615,433.37459,603.5776000000001,569.45109,493.83732,634.0343
140.81383926299998,311.23457,227.18848,335.21779999999995,380.98280000000005,205.38707
52.99998,143.9998,308,99.99996,180.00007,158.99986
1100,3820,4113,2759,5025,1610
3199.002,9861.9989,10271.0065,46092.05194,3527.00131,4297.99713
2836.0280200000007,5013.57098,4952.132971271497,5754.15972,5087.281770334152,4351.2377903986
35479.223,80226.97,53814.86000000001,55574.932,82319.92990999999,70760.75600000001
10110.81824228544,10317.023939536086,24053.939838000002,11328.329600620002,11756.03984,32464.314955691512
1014.0055900000001,1133.8060970000001,2863.96269,949.5421599999999,2081.1368693,1487.9630612339602
35,52.99995,69.0000000556263,43,28,40
1347.000399913116,1247.324483066906,2095.9997575766265,1118.999778025901,1962.5223449100001,2002.9991387499997
432.57013,387.78927,508.67761,296.0009,322.99040033409796,432.66813745200005
510.000000698901,1191.999266779221,982.0309386600001,511.00030399999997,797.999634527274,698.0000525465999
1068.1482600000002,1589.87674,1524.8956673239004,2576.7522200000003,1258.88775,1053.76742
3625.7333,2814.08036,6616.515949999999,4995.25135,6121.010489999999,5034.022980000001
3470.9866090010073,5483.9966064167465,5739.999585336384,4495.001291082166,5954.964580186508,4839.939165238073
474.0007560675883,740.790163151,1089.99952348,576.00061,848.00091265206,745.1625267976423
250.2325393383935,424.19707000000005,540.3654658226999,198.79390014494498,368.631998551,312.17463922400003
49.0488,71.1133,72.6044,2.41574,137.5470000286065,100.061
0,0,0,0,0,0
76.20482,123,170.00032000000002,49,151,104.00105
29.254,1.00228,5.17027,20.99999,7,17.37278
117.56540000000001,141.11329999999998,177.5732,94.2989170475,160.91933,173.55835
3590.31258,5947.652700000001,7631.58258,3014.98462,8139.333,6028.125300000001
152.43145,144.000064198,257.000027,106.02159999999999,240.15578846772996,184.01409
360.1364500000001,444.129300642364,404.5269,345.99981438,445.00000000000006,366.58050000000003
3.26453,4.5858099999999995,14.7448,5.30045,8.14976,20.22217
940.0002000000001,1020,1904.005,801.9998,1543.002,1591.002
